datetime,value
2024-01-24T12:00:00Z,62.0
2024-01-24T18:00:00Z,492.0
2024-01-25T00:00:00Z,648.0
2024-01-25T06:00:00Z,530.0
2024-01-25T12:00:00Z,700.0
2024-01-25T18:00:00Z,520.0
2024-01-26T00:00:00Z,426.0
2024-01-26T06:00:00Z,578.0
2024-01-26T12:00:00Z,749.0
2024-01-26T18:00:00Z,578.0
2024-01-27T00:00:00Z,324.0
2024-01-27T06:00:00Z,359.0
2024-01-27T12:00:00Z,459.0
2024-01-27T18:00:00Z,320.0
2024-01-28T00:00:00Z,361.0
2024-01-28T06:00:00Z,421.0
2024-01-28T12:00:00Z,355.0
2024-01-28T18:00:00Z,292.0
2024-01-29T00:00:00Z,383.0
2024-01-29T06:00:00Z,379.0
2024-01-29T12:00:00Z,652.0
2024-01-29T18:00:00Z,632.0
2024-01-30T00:00:00Z,476.0
2024-01-30T06:00:00Z,519.0
2024-01-30T12:00:00Z,586.0
2024-01-30T18:00:00Z,625.0
2024-01-31T00:00:00Z,549.0
2024-01-31T06:00:00Z,460.0
2024-01-31T12:00:00Z,630.0
2024-01-31T18:00:00Z,575.0
2024-02-01T00:00:00Z,454.0
2024-02-01T06:00:00Z,549.0
2024-02-01T12:00:00Z,599.0
2024-02-01T18:00:00Z,542.0
2024-02-02T00:00:00Z,468.0
2024-02-02T06:00:00Z,466.0
2024-02-02T12:00:00Z,635.0
2024-02-02T18:00:00Z,496.0
2024-02-03T00:00:00Z,361.0
2024-02-03T06:00:00Z,384.0
2024-02-03T12:00:00Z,267.0
2024-02-03T18:00:00Z,320.0
2024-02-04T00:00:00Z,327.0
2024-02-04T06:00:00Z,315.0
2024-02-04T12:00:00Z,374.0
2024-02-04T18:00:00Z,321.0
2024-02-05T00:00:00Z,395.0
2024-02-05T06:00:00Z,518.0
2024-02-05T12:00:00Z,673.0
2024-02-05T18:00:00Z,597.0
2024-02-06T00:00:00Z,394.0
2024-02-06T06:00:00Z,522.0
2024-02-06T12:00:00Z,730.0
2024-02-06T18:00:00Z,528.0
2024-02-07T00:00:00Z,432.0
2024-02-07T06:00:00Z,535.0
2024-02-07T12:00:00Z,567.0
2024-02-07T18:00:00Z,648.0
2024-02-08T00:00:00Z,496.0
2024-02-08T06:00:00Z,593.0
2024-02-08T12:00:00Z,769.0
2024-02-08T18:00:00Z,530.0
2024-02-09T00:00:00Z,528.0
2024-02-09T06:00:00Z,678.0
2024-02-09T12:00:00Z,925.0
2024-02-09T18:00:00Z,635.0
2024-02-10T00:00:00Z,470.0
2024-02-10T06:00:00Z,521.0
2024-02-10T12:00:00Z,432.0
2024-02-10T18:00:00Z,450.0
2024-02-11T00:00:00Z,400.0
2024-02-11T06:00:00Z,492.0
2024-02-11T12:00:00Z,434.0
2024-02-11T18:00:00Z,376.0
2024-02-12T00:00:00Z,504.0
