datetime,value
2024-01-24T12:00:00Z,246.0
2024-01-24T18:00:00Z,2425.0
2024-01-25T00:00:00Z,3203.0
2024-01-25T06:00:00Z,2162.0
2024-01-25T12:00:00Z,2985.0
2024-01-25T18:00:00Z,2300.0
2024-01-26T00:00:00Z,1783.0
2024-01-26T06:00:00Z,2861.0
2024-01-26T12:00:00Z,3437.0
2024-01-26T18:00:00Z,2891.0
2024-01-27T00:00:00Z,1341.0
2024-01-27T06:00:00Z,1530.0
2024-01-27T12:00:00Z,1900.0
2024-01-27T18:00:00Z,1418.0
2024-01-28T00:00:00Z,1236.0
2024-01-28T06:00:00Z,1572.0
2024-01-28T12:00:00Z,1473.0
2024-01-28T18:00:00Z,1302.0
2024-01-29T00:00:00Z,1499.0
2024-01-29T06:00:00Z,1724.0
2024-01-29T12:00:00Z,3520.0
2024-01-29T18:00:00Z,3484.0
2024-01-30T00:00:00Z,2200.0
2024-01-30T06:00:00Z,2389.0
2024-01-30T12:00:00Z,3148.0
2024-01-30T18:00:00Z,3467.0
2024-01-31T00:00:00Z,1903.0
2024-01-31T06:00:00Z,2079.0
2024-01-31T12:00:00Z,3228.0
2024-01-31T18:00:00Z,2913.0
2024-02-01T00:00:00Z,3846.0
2024-02-01T06:00:00Z,2529.0
2024-02-01T12:00:00Z,2776.0
2024-02-01T18:00:00Z,2784.0
2024-02-02T00:00:00Z,2346.0
2024-02-02T06:00:00Z,2278.0
2024-02-02T12:00:00Z,3266.0
2024-02-02T18:00:00Z,2304.0
2024-02-03T00:00:00Z,1441.0
2024-02-03T06:00:00Z,1689.0
2024-02-03T12:00:00Z,1205.0
2024-02-03T18:00:00Z,1427.0
2024-02-04T00:00:00Z,1273.0
2024-02-04T06:00:00Z,1483.0
2024-02-04T12:00:00Z,1572.0
2024-02-04T18:00:00Z,1491.0
2024-02-05T00:00:00Z,1539.0
2024-02-05T06:00:00Z,2321.0
2024-02-05T12:00:00Z,3078.0
2024-02-05T18:00:00Z,2407.0
2024-02-06T00:00:00Z,1580.0
2024-02-06T06:00:00Z,2266.0
2024-02-06T12:00:00Z,3208.0
2024-02-06T18:00:00Z,2309.0
2024-02-07T00:00:00Z,1856.0
2024-02-07T06:00:00Z,2163.0
2024-02-07T12:00:00Z,2394.0
2024-02-07T18:00:00Z,2866.0
2024-02-08T00:00:00Z,2052.0
2024-02-08T06:00:00Z,2526.0
2024-02-08T12:00:00Z,3546.0
2024-02-08T18:00:00Z,2477.0
2024-02-09T00:00:00Z,2430.0
2024-02-09T06:00:00Z,2625.0
2024-02-09T12:00:00Z,4224.0
2024-02-09T18:00:00Z,2841.0
2024-02-10T00:00:00Z,1804.0
2024-02-10T06:00:00Z,2368.0
2024-02-10T12:00:00Z,1715.0
2024-02-10T18:00:00Z,2165.0
2024-02-11T00:00:00Z,1590.0
2024-02-11T06:00:00Z,2084.0
2024-02-11T12:00:00Z,1976.0
2024-02-11T18:00:00Z,1860.0
2024-02-12T00:00:00Z,2025.0
2024-02-12T06:00:00Z,2942.0
2024-02-12T12:00:00Z,3469.0
2024-02-12T18:00:00Z,4181.0
2024-02-13T00:00:00Z,2286.0
2024-02-13T06:00:00Z,3942.0
2024-02-13T12:00:00Z,3507.0
2024-02-13T18:00:00Z,4061.0
2024-02-14T00:00:00Z,2066.0
2024-02-14T06:00:00Z,5207.0
2024-02-14T12:00:00Z,5856.0
2024-02-14T18:00:00Z,4493.0
2024-02-15T00:00:00Z,3813.0
2024-02-15T06:00:00Z,4336.0
2024-02-15T12:00:00Z,4613.0
2024-02-15T18:00:00Z,5111.0
2024-02-16T00:00:00Z,3228.0
2024-02-16T06:00:00Z,3962.0
2024-02-16T12:00:00Z,4920.0
2024-02-16T18:00:00Z,3085.0
2024-02-17T00:00:00Z,2004.0
2024-02-17T06:00:00Z,1885.0
2024-02-17T12:00:00Z,5162.0
2024-02-17T18:00:00Z,1744.0
2024-02-18T00:00:00Z,1331.0
2024-02-18T06:00:00Z,1862.0
2024-02-18T12:00:00Z,3815.0
2024-02-18T18:00:00Z,2151.0
2024-02-19T00:00:00Z,4124.0
2024-02-19T06:00:00Z,2614.0
2024-02-19T12:00:00Z,2371.0
2024-02-19T18:00:00Z,3437.0
2024-02-20T00:00:00Z,2590.0
2024-02-20T06:00:00Z,3052.0
2024-02-20T12:00:00Z,4356.0
2024-02-20T18:00:00Z,4388.0
2024-02-21T00:00:00Z,3215.0
2024-02-21T06:00:00Z,3767.0
2024-02-21T12:00:00Z,6006.0
2024-02-21T18:00:00Z,3664.0
2024-02-22T00:00:00Z,3035.0
2024-02-22T06:00:00Z,3694.0
2024-02-22T12:00:00Z,4159.0
2024-02-22T18:00:00Z,4699.0
2024-02-23T00:00:00Z,3083.0
2024-02-23T06:00:00Z,2628.0
2024-02-23T12:00:00Z,2879.0
2024-02-23T18:00:00Z,4759.0
2024-02-24T00:00:00Z,1651.0
2024-02-24T06:00:00Z,2665.0
2024-02-24T12:00:00Z,1878.0
2024-02-24T18:00:00Z,2073.0
2024-02-25T00:00:00Z,1856.0
2024-02-25T06:00:00Z,2651.0
2024-02-25T12:00:00Z,2507.0
2024-02-25T18:00:00Z,2053.0
2024-02-26T00:00:00Z,1946.0
2024-02-26T06:00:00Z,2910.0
2024-02-26T12:00:00Z,5275.0
2024-02-26T18:00:00Z,3848.0
2024-02-27T00:00:00Z,3910.0
2024-02-27T06:00:00Z,3965.0
2024-02-27T12:00:00Z,5261.0
2024-02-27T18:00:00Z,4123.0
2024-02-28T00:00:00Z,3763.0
2024-02-28T06:00:00Z,5022.0
2024-02-28T12:00:00Z,6986.0
2024-02-28T18:00:00Z,6974.0
2024-02-29T00:00:00Z,4258.0
2024-02-29T06:00:00Z,6948.0
2024-02-29T12:00:00Z,5686.0
2024-02-29T18:00:00Z,5062.0
2024-03-01T00:00:00Z,5565.0
2024-03-01T06:00:00Z,3967.0
2024-03-01T12:00:00Z,6661.0
2024-03-01T18:00:00Z,5375.0
2024-03-02T00:00:00Z,3274.0
2024-03-02T06:00:00Z,2542.0
2024-03-02T12:00:00Z,2695.0
2024-03-02T18:00:00Z,2224.0
2024-03-03T00:00:00Z,2164.0
2024-03-03T06:00:00Z,2485.0
2024-03-03T12:00:00Z,2535.0
2024-03-03T18:00:00Z,2564.0
2024-03-04T00:00:00Z,2069.0
2024-03-04T06:00:00Z,4376.0
2024-03-04T12:00:00Z,4962.0
2024-03-04T18:00:00Z,6337.0
2024-03-05T00:00:00Z,5620.0
2024-03-05T06:00:00Z,4615.0
2024-03-05T12:00:00Z,5952.0
2024-03-05T18:00:00Z,8127.0
2024-03-06T00:00:00Z,4608.0
2024-03-06T06:00:00Z,5400.0
2024-03-06T12:00:00Z,5577.0
2024-03-06T18:00:00Z,4463.0
2024-03-07T00:00:00Z,4709.0
2024-03-07T06:00:00Z,3583.0
2024-03-07T12:00:00Z,6091.0
2024-03-07T18:00:00Z,4405.0
2024-03-08T00:00:00Z,2663.0
2024-03-08T06:00:00Z,3643.0
2024-03-08T12:00:00Z,5400.0
2024-03-08T18:00:00Z,4740.0
2024-03-09T00:00:00Z,2566.0
2024-03-09T06:00:00Z,3107.0
2024-03-09T12:00:00Z,3266.0
2024-03-09T18:00:00Z,2883.0
2024-03-10T00:00:00Z,2265.0
2024-03-10T06:00:00Z,3369.0
2024-03-10T12:00:00Z,3373.0
2024-03-10T18:00:00Z,2844.0
2024-03-11T00:00:00Z,3020.0
2024-03-11T06:00:00Z,5501.0
2024-03-11T12:00:00Z,6721.0
2024-03-11T18:00:00Z,5287.0
2024-03-12T00:00:00Z,3485.0
2024-03-12T06:00:00Z,3559.0
2024-03-12T12:00:00Z,5951.0
2024-03-12T18:00:00Z,4288.0
2024-03-13T00:00:00Z,3416.0
2024-03-13T06:00:00Z,5035.0
2024-03-13T12:00:00Z,6018.0
2024-03-13T18:00:00Z,4919.0
2024-03-14T00:00:00Z,4451.0
2024-03-14T06:00:00Z,7379.0
2024-03-14T12:00:00Z,5050.0
2024-03-14T18:00:00Z,6958.0
2024-03-15T00:00:00Z,4281.0
2024-03-15T06:00:00Z,5270.0
2024-03-15T12:00:00Z,4224.0
2024-03-15T18:00:00Z,3963.0
2024-03-16T00:00:00Z,2754.0
2024-03-16T06:00:00Z,3689.0
2024-03-16T12:00:00Z,3488.0
2024-03-16T18:00:00Z,2970.0
2024-03-17T00:00:00Z,3072.0
2024-03-17T06:00:00Z,2660.0
2024-03-17T12:00:00Z,2761.0
2024-03-17T18:00:00Z,2889.0
2024-03-18T00:00:00Z,2637.0
2024-03-18T06:00:00Z,3303.0
2024-03-18T12:00:00Z,3036.0
2024-03-18T18:00:00Z,4080.0
2024-03-19T00:00:00Z,3077.0
2024-03-19T06:00:00Z,4200.0
2024-03-19T12:00:00Z,5099.0
2024-03-19T18:00:00Z,6266.0
2024-03-20T00:00:00Z,3570.0
2024-03-20T06:00:00Z,3390.0
2024-03-20T12:00:00Z,3183.0
2024-03-20T18:00:00Z,7429.0
2024-03-21T00:00:00Z,3793.0
2024-03-21T06:00:00Z,3571.0
2024-03-21T12:00:00Z,4339.0
2024-03-21T18:00:00Z,5532.0
2024-03-22T00:00:00Z,2402.0
2024-03-22T06:00:00Z,3441.0
2024-03-22T12:00:00Z,4171.0
2024-03-22T18:00:00Z,3323.0
2024-03-23T00:00:00Z,2831.0
2024-03-23T06:00:00Z,2416.0
2024-03-23T12:00:00Z,2603.0
2024-03-23T18:00:00Z,1931.0
2024-03-24T00:00:00Z,1679.0
2024-03-24T06:00:00Z,2073.0
2024-03-24T12:00:00Z,2353.0
2024-03-24T18:00:00Z,2128.0
2024-03-25T00:00:00Z,2286.0
2024-03-25T06:00:00Z,2969.0
2024-03-25T12:00:00Z,3321.0
2024-03-25T18:00:00Z,6256.0
2024-03-26T00:00:00Z,2590.0
2024-03-26T06:00:00Z,3119.0
2024-03-26T12:00:00Z,4270.0
2024-03-26T18:00:00Z,3145.0
2024-03-27T00:00:00Z,3205.0
2024-03-27T06:00:00Z,3192.0
2024-03-27T12:00:00Z,3388.0
2024-03-27T18:00:00Z,3747.0
2024-03-28T00:00:00Z,2393.0
2024-03-28T06:00:00Z,4702.0
2024-03-28T12:00:00Z,5012.0
2024-03-28T18:00:00Z,3422.0
2024-03-29T00:00:00Z,2692.0
2024-03-29T06:00:00Z,2899.0
2024-03-29T12:00:00Z,3535.0
2024-03-29T18:00:00Z,2752.0
2024-03-30T00:00:00Z,1748.0
2024-03-30T06:00:00Z,1874.0
2024-03-30T12:00:00Z,2496.0
2024-03-30T18:00:00Z,2026.0
2024-03-31T00:00:00Z,1888.0
2024-03-31T06:00:00Z,1739.0
2024-03-31T12:00:00Z,2106.0
2024-03-31T18:00:00Z,2187.0
2024-04-01T00:00:00Z,2990.0
2024-04-01T06:00:00Z,4764.0
2024-04-01T12:00:00Z,3925.0
2024-04-01T18:00:00Z,3777.0
2024-04-02T00:00:00Z,3032.0
2024-04-02T06:00:00Z,3699.0
2024-04-02T12:00:00Z,4440.0
2024-04-02T18:00:00Z,3246.0
2024-04-03T00:00:00Z,4121.0
2024-04-03T06:00:00Z,3745.0
2024-04-03T12:00:00Z,3016.0
2024-04-03T18:00:00Z,3572.0
2024-04-04T00:00:00Z,4363.0
2024-04-04T06:00:00Z,3395.0
2024-04-04T12:00:00Z,5284.0
2024-04-04T18:00:00Z,3442.0
2024-04-05T00:00:00Z,3830.0
